Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Age],[Nature],[Observation Status],[Reporting Type],[Sex],[Units]
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2004","0.00","2004","","","","","UNAIDS","","","50+","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2004","0.36","2004","","","","","UNAIDS","","","15-49","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2004","0.51","2004","","","","","UNAIDS","","","15-49","E","A","G","MALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2004","0.21","2004","","","","","UNAIDS","","","15-49","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2004","0.01","2004","","","","","UNAIDS","","","50+","E","A","G","MALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2004","0.00","2004","","","","","UNAIDS","","","50+","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2004","0.12","2004","","","","","UNAIDS","","","ALLAGE","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2004","0.29","2004","","","","","UNAIDS","","","ALLAGE","E","A","G","MALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2004","0.21","2004","","","","","UNAIDS","","","ALLAGE","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2005","0.63","2005","","","","","UNAIDS","","","15-24","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2005","0.24","2005","","","","","UNAIDS","","","15-49","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2005","0.53","2005","","","","","UNAIDS","","","15-49","E","A","G","MALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2005","0.00","2005","","","","","UNAIDS","","","50+","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2005","0.38","2005","","","","","UNAIDS","","","15-49","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2005","0.01","2005","","","","","UNAIDS","","","50+","E","A","G","MALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2005","0.00","2005","","","","","UNAIDS","","","50+","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2005","0.14","2005","","","","","UNAIDS","","","ALLAGE","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2005","0.03","2005","","","","","UNAIDS","","","<15Y","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2005","0.44","2005","","","","","UNAIDS","","","15-24","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2005","0.81","2005","","","","","UNAIDS","","","15-24","E","A","G","MALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2005","0.30","2005","","","","","UNAIDS","","","ALLAGE","E","A","G","MALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2005","0.22","2005","","","","","UNAIDS","","","ALLAGE","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2006","0.00","2006","","","","","UNAIDS","","","50+","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2006","0.00","2006","","","","","UNAIDS","","","50+","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2006","0.01","2006","","","","","UNAIDS","","","50+","E","A","G","MALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2006","0.15","2006","","","","","UNAIDS","","","ALLAGE","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2006","0.30","2006","","","","","UNAIDS","","","ALLAGE","E","A","G","MALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2006","0.22","2006","","","","","UNAIDS","","","ALLAGE","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2006","0.03","2006","","","","","UNAIDS","","","<15Y","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2006","0.48","2006","","","","","UNAIDS","","","15-24","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2006","0.80","2006","","","","","UNAIDS","","","15-24","E","A","G","MALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2006","0.65","2006","","","","","UNAIDS","","","15-24","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2006","0.26","2006","","","","","UNAIDS","","","15-49","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2006","0.52","2006","","","","","UNAIDS","","","15-49","E","A","G","MALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2006","0.39","2006","","","","","UNAIDS","","","15-49","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2007","0.04","2007","","","","","UNAIDS","","","<15Y","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2007","0.50","2007","","","","","UNAIDS","","","15-24","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2007","0.28","2007","","","","","UNAIDS","","","ALLAGE","E","A","G","MALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2007","0.22","2007","","","","","UNAIDS","","","ALLAGE","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2007","0.76","2007","","","","","UNAIDS","","","15-24","E","A","G","MALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2007","0.63","2007","","","","","UNAIDS","","","15-24","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2007","0.27","2007","","","","","UNAIDS","","","15-49","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2007","0.48","2007","","","","","UNAIDS","","","15-49","E","A","G","MALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2007","0.38","2007","","","","","UNAIDS","","","15-49","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2007","0.00","2007","","","","","UNAIDS","","","50+","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2007","0.01","2007","","","","","UNAIDS","","","50+","E","A","G","MALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2007","0.00","2007","","","","","UNAIDS","","","50+","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2007","0.16","2007","","","","","UNAIDS","","","ALLAGE","E","A","G","FEMALE","PER_1000_UNINFECTED_POP"
"3","3.3","3.3.1","SH_HIV_INCD","Number of new HIV infections per 1,000 uninfected population, by sex and age (per 1,000 uninfected population)","360","Indonesia","2008","0.04","2008","","","","","UNAIDS","","","<15Y","E","A","G","BOTHSEX","PER_1000_UNINFECTED_POP"
